Instructions,AvgEnergy,EnergyPerInstruction,Duration,Iterations;
1,130.673566878981,1390.36675159236,10640,85227;
1001,130.99786259542,1.72417266702763,13175,51194;
2001,131.17652173913,1.14276318188731,17432,45454;
3001,131.419166666667,0.64098045401533,14637,31380;
4001,131.629066666667,0.487498002965926,14818,26086;
5001,132.067522464698,0.382787190187122,14495,22796;
6001,132.298765432099,0.331000443958929,15014,20107;
7001,132.575267538645,0.284541632629007,15026,18050;
8001,132.811251435132,0.246417076309778,14845,15974;
9001,133.03063263041,0.216682824685528,14661,14705;
